experiment_id;dataset;seed;split;approach;finalScore;measure;incumbent
2374;entertainment1;42;8;hb;0.36398467432950193;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.4200859600897498) - weka.classifiers.trees.RandomTree(backActivator=0, depth=2, U=false, depthActivator=0, K=2, featuresActivator=0, M=1.0, N=0.0) - 
652;education1;42;0;smac;0.13820861922334185;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.5947701807737716) - weka.classifiers.trees.RandomTree(backActivator=0, depth=2, U=false, depthActivator=0, K=2, featuresActivator=0, M=1.0, N=0.0) - 
3060;llog-f;42;5;ggp;0.3093525179856115;FMicroAvg;meka.classifiers.multilabel.MLCBMaD(size=14, threshold=0.9507143077766118) - meka.classifiers.multilabel.PSt(P=4, N=1) - weka.classifiers.bayes.NaiveBayesMultinomial() - 
173;birds;42;1;random;0.5794392523364486;FMicroAvg;meka.classifiers.multilabel.meta.EnsembleML(P=46, I=36) - meka.classifiers.multilabel.PS(P=0, N=2) - weka.classifiers.meta.RandomCommittee(S=1, I=40) - weka.classifiers.trees.RandomForest(depth=4, depthActivator=1, I=106, K=31, featuresActivator=1) - 
2202;genbase;42;6;random;0.993939393939394;FMicroAvg;meka.classifiers.multilabel.meta.BaggingML(P=17, I=30) - meka.classifiers.multilabel.CT(Iy=14, P=Exact match, X=None, H=-1, Is=457, L=2) - weka.classifiers.functions.SMO(C=0.6322548758758554, M=true, N=0) - weka.classifiers.functions.supportVector.RBFKernel(G=0.7921053526997897) - 
404;birds;42;2;bohb;0.5384615384615384;FMicroAvg;meka.classifiers.multilabel.FW() - weka.classifiers.meta.ClassificationViaRegression() - 
1577;genbase;42;2;bohb;1.0;FMacroAvgD;meka.classifiers.multilabel.CCq(P=0.740584651250433) - weka.classifiers.lazy.IBk(E=false, X=false, I=false, K=1.0) - 
2952;health1;42;8;smac;0.629500517598344;FMacroAvgD;meka.classifiers.multilabel.CCq(P=0.4105309535442572) - weka.classifiers.functions.VotedPerceptron(E=1.0, I=1.0, M=10000.0) - 
1053;education1;42;5;hb;0.2869809602976686;FMacroAvgD;meka.classifiers.multilabel.MajorityLabelset() - 
1896;health1;42;0;smac;0.6273087071240105;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.4382058796619599) - weka.classifiers.functions.VotedPerceptron(E=1.0, I=1.0, M=10000.0) - 
1102;business1;42;4;smac;0.6662120695533583;FMicroAvg;meka.classifiers.multilabel.MajorityLabelset() - 
1073;enron-f;42;4;bf;0.19464949745789212;FMacroAvgL;meka.classifiers.multilabel.meta.RandomSubspaceML(P=19, A=19, I=45) - meka.classifiers.multilabel.CC() - weka.classifiers.meta.RandomCommittee(S=1, I=15) - weka.classifiers.trees.RandomTree(backActivator=0, depth=16, U=true, depthActivator=1, K=32, featuresActivator=1, M=49, N=0) - 
209;bookmarks;42;0;bohb;7.010900885544761E-4;FMacroAvgL;meka.classifiers.multilabel.meta.SubsetMapper() - meka.classifiers.multilabel.meta.BaggingML(P=67.0, I=10.0) - meka.classifiers.multilabel.MajorityLabelset() - 
421;education1;42;2;bf;0.207740180227482;FMacroAvgL;meka.classifiers.multilabel.PS(P=3, N=2) - weka.classifiers.meta.RandomSubSpace(P=0.34375, S=1, I=15) - weka.classifiers.bayes.NaiveBayesMultinomial() - 
1161;health1;42;1;random;0.4870430691277603;FMacroAvgD;meka.classifiers.multilabel.meta.SubsetMapper() - meka.classifiers.multilabel.meta.BaggingMLdup(P=81, I=12) - meka.classifiers.multilabel.PS(P=1, N=3) - weka.classifiers.rules.OneR(B=18) - 
3821;society1;42;6;bf;0.4946865037194474;FMicroAvg;meka.classifiers.multilabel.RT() - weka.classifiers.bayes.NaiveBayesMultinomial() - 
1169;birds;42;8;bohb;0.34631960335621664;FMacroAvgL;meka.classifiers.multilabel.MCC(Iy=86, P=Avg precision, Is=352) - weka.classifiers.meta.RandomSubSpace(P=0.5, S=1, I=10.0) - weka.classifiers.lazy.IBk(E=false, X=false, I=false, K=1.0) - 
598;business1;42;1;smac;0.11168327333288289;FMacroAvgL;meka.classifiers.multilabel.MCC(Iy=0, P=Log Loss (lim. L), Is=831) - weka.classifiers.trees.RandomTree(backActivator=0, depth=2, U=false, depthActivator=0, K=2, featuresActivator=0, M=1.0, N=0.0) - 
3605;social1;42;5;bohb;0.39863820462499333;FMacroAvgD;meka.classifiers.multilabel.CCq(P=0.663934623660228) - weka.classifiers.trees.RandomTree(backActivator=0, depth=2, U=false, depthActivator=0, K=2, featuresActivator=0, M=1.0, N=0.0) - 
2866;genbase;42;6;smac;1.0;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.6609547655867305) - weka.classifiers.functions.SMO(C=1.0, M=false, N=0) - weka.classifiers.functions.supportVector.NormalizedPolyKernel(E=1.0, L=false) - 
1061;bookmarks;42;6;hb;0.1421149144254279;FMicroAvg;meka.classifiers.multilabel.MLCBMaD(size=2, threshold=0.4608694230642073) - meka.classifiers.multilabel.BR() - weka.classifiers.rules.OneR(B=6.0) - 
1737;genbase;42;5;random;0.9898989898989898;FMacroAvgD;meka.classifiers.multilabel.meta.SubsetMapper() - meka.classifiers.multilabel.CC() - weka.classifiers.functions.SMO(C=1.4564535584072096, M=true, N=1) - weka.classifiers.functions.supportVector.Puk(S=8.640258190705879, O=0.5965913005114656) - 
3790;yeast;42;1;bohb;0.6532019704433498;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.4784683046133666) - weka.classifiers.trees.RandomForest(depth=6, depthActivator=1, I=83, K=2, featuresActivator=0) - 
129;birds;42;1;bohb;0.25341991341991343;FMacroAvgD;meka.classifiers.multilabel.FW() - weka.classifiers.meta.ClassificationViaRegression() - 
151;computers1;42;1;bf;0.6459243135004995;FMacroAvgD;meka.classifiers.multilabel.PS(P=2, N=4) - weka.classifiers.bayes.NaiveBayesMultinomial() - 
3445;llog-f;42;9;ggp;0.1748858447488585;FMacroAvgD;meka.classifiers.multilabel.MLCBMaD(size=14, threshold=0.9507143077766118) - meka.classifiers.multilabel.BRq(P=0.6678146028398737) - weka.classifiers.rules.PART(R=false, B=true, M=3, N=4) - 
1555;flags;42;2;hb;0.7080745341614908;FMicroAvg;meka.classifiers.multilabel.meta.BaggingML(P=95, I=41) - meka.classifiers.multilabel.RAkELd(P=0.0, N=0.0) - weka.classifiers.meta.ClassificationViaRegression() - 
1406;flags;42;5;bf;0.6869674185463659;FMacroAvgD;meka.classifiers.multilabel.BRq(P=0.6546875000000001) - weka.classifiers.meta.RandomSubSpace(P=0.60625, S=1, I=3) - weka.classifiers.rules.PART(R=true, B=false, M=63, N=4) - 
3208;yeast;42;1;bf;0.4624610761201929;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.26093750000000004) - weka.classifiers.bayes.NaiveBayes(D=false, K=true) - 
3947;yeast;42;1;ggp;0.4580412406253481;FMacroAvgL;meka.classifiers.multilabel.meta.RandomSubspaceML(P=65, A=45, I=50) - meka.classifiers.multilabel.CC() - weka.classifiers.lazy.IBk(E=false, X=false, I=false, K=47) - 
1755;health1;42;0;smac;0.3006058491260796;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.6586854648360189) - weka.classifiers.functions.VotedPerceptron(E=1.0, I=1.0, M=10000.0) - 
189;birds;42;0;bohb;0.5238095238095238;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.2177506014326813) - weka.classifiers.meta.RandomSubSpace(P=0.5, S=1, I=10.0) - weka.classifiers.lazy.IBk(E=false, X=false, I=false, K=1.0) - 
876;education1;42;5;random;0.3097850611566324;FMacroAvgD;meka.classifiers.multilabel.meta.SubsetMapper() - meka.classifiers.multilabel.meta.BaggingMLdup(P=81, I=12) - meka.classifiers.multilabel.PS(P=1, N=3) - weka.classifiers.rules.OneR(B=18) - 
2342;medical;42;6;bf;0.7343537414965987;FMacroAvgD;meka.classifiers.multilabel.BR() - weka.classifiers.rules.JRip(P=false, E=false, N=2.4000000000000004, O=4) - 
3490;genbase;42;9;ggp;0.9732620320855615;FMicroAvg;meka.classifiers.multilabel.BRq(P=0.3241231212581263) - weka.classifiers.lazy.IBk(E=true, X=true, I=false, K=33) - 
243;birds;42;0;ggp;0.23805860805860807;FMacroAvgD;meka.classifiers.multilabel.MCC(Iy=71, P=One error, Is=317) - weka.classifiers.lazy.LWL(U=4, K=-1) - weka.classifiers.lazy.IBk(E=false, X=false, I=true, K=1) - 
1153;emotions;42;3;bohb;0.6699985118380019;FMacroAvgL;meka.classifiers.multilabel.meta.BaggingML(P=64, I=38) - meka.classifiers.multilabel.BRq(P=0.20093028341181748) - weka.classifiers.meta.AdaBoostM1(P=100.0, Q=false, S=1, pActivator=0, I=10.0) - weka.classifiers.trees.LMT(P=false, A=false, R=false, B=false, C=false, W=0.5, M=15.0) - 
2924;scene;42;5;random;0.8035961272475792;FMacroAvgD;meka.classifiers.multilabel.meta.EnsembleML(P=46, I=36) - meka.classifiers.multilabel.PS(P=0, N=2) - weka.classifiers.meta.RandomCommittee(S=1, I=40) - weka.classifiers.trees.RandomForest(depth=4, depthActivator=1, I=106, K=31, featuresActivator=1) - 
934;flags;42;3;bf;0.6405734105076211;FMacroAvgD;meka.classifiers.multilabel.BRq(P=0.26093750000000004) - weka.classifiers.trees.J48(A=false, B=false, S=false, C=0.35416666666666663, U=false, J=true, M=33, O=true) - 
3194;tmc2007;42;0;bohb;0.4034533395897018;FMacroAvgD;meka.classifiers.multilabel.CCq(P=0.4068254596569751) - weka.classifiers.trees.RandomTree(backActivator=0, depth=2, U=false, depthActivator=0, K=2, featuresActivator=0, M=1.0, N=0.0) - 
398;bookmarks;42;5;bf;0.003622573158997;FMacroAvgL;meka.classifiers.multilabel.RT() - weka.classifiers.trees.DecisionStump() - 
1910;health1;42;6;bf;0.7591873706004135;FMacroAvgD;meka.classifiers.multilabel.PS(P=2, N=4) - weka.classifiers.bayes.NaiveBayesMultinomial() - 
1911;emotions;42;5;smac;0.7565217391304349;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.7633025074211266) - weka.classifiers.trees.RandomForest(depth=3, depthActivator=0, I=241, K=19, featuresActivator=1) - 
214;business1;42;0;random;0.6830110497237569;FMicroAvg;meka.classifiers.multilabel.meta.MBR() - meka.classifiers.multilabel.BR() - weka.classifiers.meta.Vote(R=MIN, S=1) - 
158;bookmarks;42;3;bf;0.13535799588410025;FMacroAvgD;meka.classifiers.multilabel.RT() - weka.classifiers.rules.OneR(B=12) - 
2655;social1;42;0;bf;0.6605113636363636;FMicroAvg;meka.classifiers.multilabel.PS(P=1, N=1) - weka.classifiers.bayes.NaiveBayesMultinomial() - 
1015;birds;42;6;bohb;0.5507246376811593;FMicroAvg;meka.classifiers.multilabel.MCC(Iy=77, P=F1 (micro averaged), Is=885) - weka.classifiers.meta.RandomSubSpace(P=0.5, S=1, I=10.0) - weka.classifiers.lazy.IBk(E=false, X=false, I=false, K=1.0) - 
3635;scene;42;4;ggp;0.7198267963769694;FMacroAvgL;meka.classifiers.multilabel.PCC() - weka.classifiers.trees.RandomForest(depth=8, depthActivator=0, I=84, K=28, featuresActivator=1) - 
82;birds;42;0;bohb;0.23811965811965816;FMacroAvgD;meka.classifiers.multilabel.meta.RandomSubspaceML(P=14, A=88, I=33) - meka.classifiers.multilabel.CCq(P=0.8) - weka.classifiers.meta.ClassificationViaRegression() - 
3641;scene;42;6;bohb;0.793800144582121;FMacroAvgL;meka.classifiers.multilabel.meta.BaggingML(P=96, I=35) - meka.classifiers.multilabel.PS(P=4, N=3) - weka.classifiers.functions.SimpleLogistic(A=false, S=false, W=0.0, WActivator=0) - 
2;arts1;42;1;bf;0.5391366755185182;FMacroAvgD;meka.classifiers.multilabel.PS(P=1, N=5) - weka.classifiers.bayes.NaiveBayesMultinomial() - 
618;business1;42;2;ggp;0.7231453187335521;FMacroAvgD;meka.classifiers.multilabel.BRq(P=0.5554487389334699) - weka.classifiers.meta.Vote(R=MAX, S=1) - 
497;computers1;42;0;smac;0.16475380955369504;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.5364706510098622) - weka.classifiers.trees.RandomTree(backActivator=0, depth=2, U=false, depthActivator=0, K=2, featuresActivator=0, M=1.0, N=0.0) - 
237;education1;42;0;bf;0.20777710022338255;FMacroAvgL;meka.classifiers.multilabel.BRq(P=0.6546875000000001) - weka.classifiers.functions.VotedPerceptron(E=4.357142857142858, I=6, M=26138) - 
3184;social1;42;1;bohb;0.11257473613294823;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.782840062111112) - weka.classifiers.trees.RandomTree(backActivator=0, depth=2, U=false, depthActivator=0, K=2, featuresActivator=0, M=1.0, N=0.0) - 
2520;scene;42;1;bf;0.8079999999999999;FMicroAvg;meka.classifiers.multilabel.LC() - weka.classifiers.meta.RandomCommittee(S=1, I=42) - weka.classifiers.trees.RandomForest(depth=8, depthActivator=1, I=118, K=27, featuresActivator=1) - 
2401;reference1;42;3;bf;0.19785119278263216;FMacroAvgL;meka.classifiers.multilabel.BR() - weka.classifiers.bayes.NaiveBayesMultinomial() - 
25;arts1;42;3;bf;0.5275510204081635;FMacroAvgD;meka.classifiers.multilabel.LC() - weka.classifiers.bayes.NaiveBayesMultinomial() - 
1717;flags;42;4;random;0.7323943661971831;FMicroAvg;meka.classifiers.multilabel.meta.BaggingMLdup(P=24, I=25) - meka.classifiers.multilabel.BRq(P=0.2945783682845823) - weka.classifiers.trees.J48(A=true, B=false, S=true, C=0.7866092457818081, U=false, J=true, M=48, O=true) - 
2739;mediamill;42;8;random;0.0;FMacroAvgD;meka.classifiers.multilabel.meta.BaggingMLdup(P=75, I=24) - meka.classifiers.multilabel.RT() - weka.classifiers.trees.DecisionStump() - 
1832;enron-f;42;7;random;0.59094942324756;FMicroAvg;meka.classifiers.multilabel.meta.BaggingML(P=34, I=26) - meka.classifiers.multilabel.BRq(P=0.7807853653548575) - weka.classifiers.trees.J48(A=false, B=true, S=true, C=0.9902749835675609, U=false, J=true, M=49, O=true) - 
2339;flags;42;6;bohb;0.4295358406205971;FMacroAvgL;meka.classifiers.multilabel.FW() - weka.classifiers.meta.ClassificationViaRegression() - 
2882;mediamill;42;4;smac;0.5273240508737986;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.31708379079943966) - weka.classifiers.meta.AttributeSelectedClassifier(S=weka.attributeSelection.BestFirst, E=weka.attributeSelection.CfsSubsetEval) - 
2490;society1;42;0;bf;0.5048044995637484;FMacroAvgD;meka.classifiers.multilabel.BR() - weka.classifiers.bayes.NaiveBayesMultinomial() - 
2462;computers1;42;9;ggp;0.40269749518304426;FMicroAvg;meka.classifiers.multilabel.BRq(P=0.5554487389334699) - weka.classifiers.meta.Vote(R=MAX, S=1) - 
3411;medical;42;6;smac;0.7586206896551724;FMicroAvg;meka.classifiers.multilabel.MCC(Iy=14, P=Log Loss (lim. D), Is=789) - weka.classifiers.meta.Bagging(P=100.0, S=1, I=10.0, O=false) - 
1355;computers1;42;4;smac;0.5913911416094823;FMicroAvg;meka.classifiers.multilabel.meta.SubsetMapper() - meka.classifiers.multilabel.RT() - weka.classifiers.bayes.NaiveBayesMultinomial() - 
2249;health1;42;6;hb;0.6491908212560388;FMacroAvgD;meka.classifiers.multilabel.CCq(P=0.3354658593380408) - weka.classifiers.functions.VotedPerceptron(E=1.0, I=1.0, M=10000.0) - 
3920;society1;42;3;ggp;0.02488346470039834;FMacroAvgL;meka.classifiers.multilabel.BRq(P=0.5554487389334699) - weka.classifiers.meta.Vote(R=MAX, S=1) - 
2862;genbase;42;6;ggp;0.6654719235364397;FMacroAvgL;meka.classifiers.multilabel.MCC(Iy=36, P=F1 (macro averaged by label), Is=935) - weka.classifiers.meta.MultiClassClassifier() - 
1027;flags;42;1;hb;0.6544592988710636;FMacroAvgD;meka.classifiers.multilabel.CCq(P=0.49792222001474057) - weka.classifiers.trees.J48(A=false, B=false, S=false, C=0.25, U=false, J=false, M=2.0, O=false) - 
3999;science1;42;7;bohb;0.44890929965556825;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.21681589364948634) - weka.classifiers.functions.VotedPerceptron(E=1.0, I=1.0, M=10000.0) - 
1429;emotions;42;2;smac;0.6333333333333334;FMicroAvg;meka.classifiers.multilabel.meta.SubsetMapper() - meka.classifiers.multilabel.FW() - weka.classifiers.functions.SMO(C=0.72107558927021, M=false, N=1) - weka.classifiers.functions.supportVector.Puk(S=0.591195930628319, O=0.18750164222828467) - 
2723;social1;42;0;hb;0.30002057709324337;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.5785212577736045) - weka.classifiers.functions.VotedPerceptron(E=1.0, I=1.0, M=10000.0) - 
1440;flags;42;0;smac;0.5986545331770462;FMacroAvgL;meka.classifiers.multilabel.meta.BaggingML(P=22, I=31) - meka.classifiers.multilabel.FW() - weka.classifiers.meta.ClassificationViaRegression() - 
3854;recreation1;42;9;ggp;0.2783137039767306;FMacroAvgD;meka.classifiers.multilabel.BCC(X=Hbf) - weka.classifiers.trees.RandomTree(backActivator=0, depth=7, U=false, depthActivator=0, K=2, featuresActivator=0, M=37, N=1) - 
222;business1;42;0;hb;0.22520084688415232;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.28014014970669826) - weka.classifiers.functions.VotedPerceptron(E=1.0, I=1.0, M=10000.0) - 
4148;social1;42;9;smac;0.4059337029609534;FMacroAvgD;meka.classifiers.multilabel.MajorityLabelset() - 
4034;science1;42;6;smac;0.2111251580278129;FMicroAvg;meka.classifiers.multilabel.MajorityLabelset() - 
4118;tmc2007;42;7;bohb;0.4066238762985864;FMacroAvgD;meka.classifiers.multilabel.CCq(P=0.28392756418211845) - weka.classifiers.trees.RandomTree(backActivator=0, depth=2, U=false, depthActivator=0, K=2, featuresActivator=0, M=1.0, N=0.0) - 
1695;entertainment1;42;3;bohb;0.37735849056603776;FMicroAvg;meka.classifiers.multilabel.MCC(Iy=74, P=Exact match, Is=761) - weka.classifiers.trees.RandomTree(backActivator=0, depth=2, U=false, depthActivator=0, K=2, featuresActivator=0, M=1.0, N=0.0) - 
1983;entertainment1;42;6;smac;0.5367669391245485;FMacroAvgD;meka.classifiers.multilabel.meta.SubsetMapper() - meka.classifiers.multilabel.FW() - weka.classifiers.bayes.NaiveBayesMultinomial() - 
4222;society1;42;8;ggp;0.40134621294166456;FMacroAvgD;meka.classifiers.multilabel.BRq(P=0.5554487389334699) - weka.classifiers.meta.Vote(R=MAX, S=1) - 
230;birds;42;3;bf;0.49673202614379086;FMicroAvg;meka.classifiers.multilabel.BR() - weka.classifiers.lazy.IBk(E=false, X=true, I=true, K=1) - 
1092;flags;42;2;bf;0.7759562841530054;FMicroAvg;meka.classifiers.multilabel.meta.BaggingML(P=79, I=49) - meka.classifiers.multilabel.CCq(P=0.26093750000000004) - weka.classifiers.trees.J48(A=true, B=true, S=true, C=0.8125, U=false, J=false, M=42, O=true) - 
2547;health1;42;7;random;0.39010309278350513;FMicroAvg;meka.classifiers.multilabel.meta.MBR() - meka.classifiers.multilabel.BR() - weka.classifiers.meta.Vote(R=MIN, S=1) - 
327;arts1;42;6;hb;0.38824069572732683;FMacroAvgD;meka.classifiers.multilabel.CCq(P=0.4722590229221727) - weka.classifiers.functions.VotedPerceptron(E=1.0, I=1.0, M=10000.0) - 
3592;recreation1;42;7;bohb;0.17424483306836247;FMicroAvg;meka.classifiers.multilabel.meta.SubsetMapper() - meka.classifiers.multilabel.meta.BaggingML(P=67.0, I=10.0) - meka.classifiers.multilabel.MajorityLabelset() - 
2233;flags;42;7;bohb;0.7273453240945502;FMacroAvgD;meka.classifiers.multilabel.meta.BaggingML(P=92, I=20) - meka.classifiers.multilabel.RAkELd(P=0.0, N=0.0) - weka.classifiers.meta.ClassificationViaRegression() - 
3673;scene;42;4;smac;0.7410526315789474;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.7869194404552227) - weka.classifiers.trees.RandomForest(depth=10, depthActivator=0, I=163, K=20, featuresActivator=1) - 
543;birds;42;7;bf;0.4957803046445706;FMacroAvgL;meka.classifiers.multilabel.LC() - weka.classifiers.trees.RandomForest(depth=0, depthActivator=0, I=118, K=20, featuresActivator=1) - 
3577;yeast;42;1;hb;0.6532019704433498;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.5163113692134133) - weka.classifiers.trees.RandomForest(depth=9, depthActivator=1, I=118, K=8, featuresActivator=0) - 
815;flags;42;0;random;0.616769520042033;FMacroAvgL;meka.classifiers.multilabel.meta.RandomSubspaceML(P=71, A=51, I=34) - meka.classifiers.multilabel.CC() - weka.classifiers.meta.LogitBoost() - 
303;birds;42;3;hb;0.4021477137820629;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.6076619207862901) - weka.classifiers.lazy.LWL(U=0.0, K=-1) - weka.classifiers.meta.RandomSubSpace(P=0.5, S=1, I=10.0) - weka.classifiers.lazy.IBk(E=false, X=false, I=false, K=1.0) - 
2415;entertainment1;42;9;random;0.0;FMicroAvg;meka.classifiers.multilabel.meta.BaggingML(P=57, I=13) - meka.classifiers.multilabel.FW() - weka.classifiers.rules.ZeroR() - 
1635;computers1;42;6;ggp;0.020288445956895152;FMacroAvgL;meka.classifiers.multilabel.BRq(P=0.5554487389334699) - weka.classifiers.meta.Vote(R=MAX, S=1) - 
3658;society1;42;2;ggp;0.41058981341726447;FMacroAvgD;meka.classifiers.multilabel.BRq(P=0.5554487389334699) - weka.classifiers.meta.Vote(R=MAX, S=1) - 
936;education1;42;1;ggp;0.12301794681482653;FMacroAvgL;meka.classifiers.multilabel.BCC(X=Hbf) - weka.classifiers.trees.RandomTree(backActivator=0, depth=7, U=false, depthActivator=0, K=2, featuresActivator=0, M=37, N=1) - 
224;bookmarks;42;3;bf;0.003107783873737643;FMacroAvgL;meka.classifiers.multilabel.PS(P=2, N=4) - weka.classifiers.rules.OneR(B=18) - 
2216;health1;42;4;smac;0.4679334057184223;FMacroAvgD;meka.classifiers.multilabel.meta.BaggingML(P=83, I=50) - meka.classifiers.multilabel.PS(P=4, N=1) - weka.classifiers.rules.OneR(B=6.0) - 
4210;yeast;42;9;bf;0.6366366366366367;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.6734375000000001) - weka.classifiers.trees.RandomForest(depth=15, depthActivator=1, I=254, K=0, featuresActivator=0) - 
3089;flags;42;9;ggp;0.49195436507936513;FMacroAvgL;meka.classifiers.multilabel.FW() - weka.classifiers.meta.LogitBoost() - 
3736;science1;42;4;ggp;0.08764461111089164;FMacroAvgL;meka.classifiers.multilabel.BCC(X=Hbf) - weka.classifiers.trees.RandomTree(backActivator=0, depth=7, U=false, depthActivator=0, K=2, featuresActivator=0, M=37, N=1) - 
2115;medical;42;2;bf;0.864406779661017;FMicroAvg;meka.classifiers.multilabel.meta.CM(I=27) - meka.classifiers.multilabel.CC() - weka.classifiers.rules.JRip(P=true, E=false, N=1.6, O=5) - 
1126;entertainment1;42;0;smac;0.1891272241989059;FMacroAvgL;meka.classifiers.multilabel.CCq(P=0.31590636392041793) - weka.classifiers.trees.RandomTree(backActivator=0, depth=2, U=false, depthActivator=0, K=2, featuresActivator=0, M=1.0, N=0.0) - 
3204;genbase;42;8;smac;0.9934640522875817;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.7355689405396751) - weka.classifiers.functions.SMO(C=1.0, M=false, N=0) - weka.classifiers.functions.supportVector.NormalizedPolyKernel(E=1.0, L=false) - 
1837;entertainment1;42;5;hb;0.35952799397439117;FMicroAvg;meka.classifiers.multilabel.CCq(P=0.23691459496418113) - weka.classifiers.trees.RandomTree(backActivator=0, depth=2, U=false, depthActivator=0, K=2, featuresActivator=0, M=1.0, N=0.0) - 
1286;business1;42;7;smac;0.7349113865616965;FMacroAvgD;meka.classifiers.multilabel.MajorityLabelset() - 
